Genera;Species;Autor;Department;Province;Municipal;Location;Year;Colector;Collection;Latitude;Longitude;Lat;Long;High;Fount_Geo;Ecoregion;SubEco;References
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);Santa Cruz;Ñuflo de Chávez;Concepción;Alta Vista;2020;;;-16.0975833;-61.8910278;"16°5'51.29""S";"61°53'27.7""W";410;Original;Bosque Seco Chiquitano;BSChi;FCBC, 2021
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);Tarija;Gran Chaco;Villa Montes;ADACHACO (Aguaray, Capirenda, Chimeo, Tahiguati, Tarairí, Tiguipa y Tucainti);2009;;;-21.3009272;-63.432538;"21°18'3.33""S";"63°25'57.13""W";377;Geo;Gran Chaco;Gcha;Clemente & Lahore, 2010
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);Santa Cruz;Ñuflo de Chávez;Concepción;Alta Vista;2021;;;-16.0975833;-61.8910278;"16°5'51.29""S";"61°53'27.7""W";410;Original;Bosque Seco Chiquitano;BSChi;FCBC, 2021
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);Santa Cruz;Andrés Ibáñez;La Guardia;;1968;Kempff, N.M.;;-18.015418;-63.029537;"18°0'55.5""S";"63°1'46.33""W";373;Geo;Gran Chaco;Gcha;Kempff, 1968
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);Cochabamba;Carrasco;Chimore;Chimore;2021;Cespedes-Llave A.A.;IEB-LAB;-16.995864;-65.149222;"16°59'45.11""S";"65°8'57.19""W";246;Original;Sudoeste de la Amazonía;BAPr;CBC-IEB-USFX
Cephalotrigona ;Cephalotrigona femorata ;(Smith, 1854);La Paz;Abel Iturralde;San Buenaventura;Tumupasa;1922;W.M. Mann;;-14.1527035;-67.8977206;"14°9'9.73""S";"67°53'51.79""W";598;Geo;Sudoeste de la Amazonía;BASu;Schwarz, 1948
Cephalotrigona ;Cephalotrigona femorata ;(Smith, 1854);Beni ;Vaca Díez;Riberalta;Santa Rosa del Ivon;1922;W.M. Mann;;-11.2296214;-66.1357695;"11°13'46.63""S";"66°8'8.77""W";150;Geo;Sudoeste de la Amazonía;BAPa;Schwarz, 1948
Cephalotrigona ;Cephalotrigona femorata ;(Smith, 1854);Beni ;General José Ballivian;Reyes;Mision Cavinas;1922;W.M. Mann;;-12.5607398;-66.9037799;"12°33'38.66""S";"66°54'13.6""W";158;Geo;Sudoeste de la Amazonía;BAIn;Schwarz, 1948
Duckeola;Duckeola ghilianii ;(Friese, 1902);Beni ;Iténez;Magdalena;Rio Itenez, opposite Costa Marques (Brazil);1964;Bouseman & Lusenhop;American Museum of Natural History;-12.455833;-64.230643;"12°27'20.99""S";"64°13'50.31""W";135;Original;Sudoeste de la Amazonía;BAIn;Smith-Pardo & Engel, 2001
Frieseomelitta ;Frieseomelitta flavicornis;(Fabricius, 1798);La Paz;Abel Iturralde;Ixiamas;Rio Madre de Dios, Puerto Heath;1990;;Snow Entomological Museum Collection;-12.5034677;-68.6409043;"12°30'12.48""S";"68°38'27.25""W";160;Geo-C;Sudoeste de la Amazonía;BAIn;GBIF
Frieseomelitta ;Frieseomelitta silvestrii ;(Lepeletier, 1836);Santa Cruz;Chiquitos;Roboré;Roboré;1959;;Snow Entomological Museum Collection;-18.334;-59.761;"18°20'2.39""S";"59°45'39.6""W";259;Original;Cerrado;CeCha;GBIF
Frieseomelitta ;Frieseomelitta silvestrii ;(Lepeletier, 1836);Santa Cruz;Chiquitos;San José;San Jose de Chiquitos;1949;Kerr, W.E.;;-17.84344884;-60.73390291;"17°50'36.41""S";"60°44'2.05""W";294;Geo;Cerrado;CeCha;Moure, 1950
Frieseomelitta ;Frieseomelitta trichocerata;Moure, 1990;La Paz;Larecaja;Quiabaya;Tarata cerca del Rio San Cristobal;;;;-15.643294;-68.746979;"15°38'35.85""S";"68°44'49.12""W";1731;Geo-C;Bosques Secos Interandinos;BSIn;GBIF
Frieseomelitta ;Frieseomelitta trichocerata;Moure, 1990;La Paz;Sur Yungas;Palos Blancos;Alto Rio Beni, S of Rio Inicua;;Peña L.;;-15.2952614;-67.4743027;"15°17'42.94""S";"67°28'27.48""W";341;Geo-C;Sudoeste de la Amazonía;BASu;GBIF
Frieseomelitta ;Frieseomelitta trichocerata;Moure, 1990;Beni ;Vaca Díez;Guayaramerín;Guayaramerin, on Rio Mamore;;;;-10.7999927;-65.3833221;"10°47'59.97""S";"65°22'59.95""W";159;Original;Sudoeste de la Amazonía;BAPa;GBIF
Frieseomelitta ;Frieseomelitta trichocerata;Moure, 1990;Cochabamba;Chapare;Villa Tunari;Chipiriri (Meliponario Tua Ta Uypi);2020;Lovera R & Cespedes A.A.;IEB-LAB;-16.913937;-65.3960478;"16°54'50.17""S";"65°23'45.77""W";270;Original;Sudoeste de la Amazonía;BAPr;CBC-IEB-USFX
Frieseomelitta ;Frieseomelitta varia ;(Spinola, 1853);Santa Cruz;Ñuflo de Chávez;Concepción;San Antonio de Lomerio;2018;;;-16.7682967;-61.8102462;"16°46'5.86""S";"61°48'36.88""W";395;Geo;Cerrado;CeChi;Townsend et al., 2021
Frieseomelitta ;Frieseomelitta varia ;(Spinola, 1853);Santa Cruz;Chiquitos;Roboré;Roboré;1959;;Snow Entomological Museum Collection;-18.334;-59.761;"18°20'2.39""S";"59°45'39.6""W";259;Original;Cerrado;CeCha;GBIF
Frieseomelitta ;Frieseomelitta varia ;(Spinola, 1853);Santa Cruz;Chiquitos;San José;San Jose de Chiquitos;1949;Kerr, W.E.;;-17.84344884;-60.73390291;"17°50'36.41""S";"60°44'2.05""W";294;Geo;Cerrado;CeCha;Moure, 1950
Geotrigona;Geotrigona (Chthonotrigona) fulvohirta ;(Friese, 1900);La Paz;Abel Iturralde;Ixiamas;Santa Fe;2005;;;-13.768211;-68.1272856;"13°46'5.55""S";"68°7'38.22""W";262;Geo;Cerrado;CePac;Tejada, 2006
Geotrigona;Geotrigona (Chthonotrigona) fulvohirta ;(Friese, 1900);Beni ;General José Ballivián;Puerto Menor de Rurrenabaque;Rurrenabaque_ Rio Colorado;1994;Roubik D.;;-14.8758333;-67.1144444;"14°52'33""S";"67°6'52""W";266;Geo;Sudoeste de la Amazonía;BAPr;Camargo & Moure, 1996
Geotrigona;Geotrigona (Chthonotrigona) fulvohirta ;(Friese, 1900);La Paz;Sur Yungas;Palos Blancos;Alto Rio Beni, S of Rio Inicua;;Peña L.;;-15.2952614;-67.4743027;"15°17'42.94""S";"67°28'27.48""W";341;Geo-C;Sudoeste de la Amazonía;BASu;GBIF
Geotrigona;Geotrigona (Chthonotrigona) fulvohirta ;(Friese, 1900);Beni ;Vaca Díez;Riberalta;Ivon;1922;W.M. Mann;;-11.128889;-66.130833;"11°7'44""S";"66°7'50.99""W";345;Original;Sudoeste de la Amazonía;BAIn;GBIF
Geotrigona;Geotrigona (Chthonotrigona) fulvohirta ;(Friese, 1900);La Paz;Abel Iturralde;San Buenaventura;Rurrenabaque;1922;W.M. Mann;;-14.441528;-67.528889;"14°26'29.5""S";"67°31'44""W";563;Original;Sudoeste de la Amazonía;BAPr;GBIF
Geotrigona;Geotrigona (Chthonotrigona) fulvohirta ;(Friese, 1900);Beni ;General José Ballivián;Puerto Menor de Rurrenabaque;Rurrenabaque;;Peña L.;;-14.4414672;-67.5280985;"14°26'29.28""S";"67°31'41.15""W";210;Original;Sudoeste de la Amazonía;BAPr;GBIF
Geotrigona;Geotrigona (Chthonotrigona) fulvohirta ;(Friese, 1900);La Paz;Abel Iturralde;San Buenaventura;Tumupasa;1922;W.M. Mann;;-14.1488542;-67.8875608;"14°8'55.87""S";"67°53'15.21""W";467;Original;Sudoeste de la Amazonía;BASu;GBIF
Geotrigona;Geotrigona (Geotrigona) argentina ;Camargo & Moure, 1996;Santa Cruz;Chiquitos;San José;San Jose de Chiquitos;1949;Moure J.S.;;-17.8447432;-60.7364262;"17°50'41.07""S";"60°44'11.13""W";296;Geo;Cerrado;CeCha;Camargo & Moure, 1996
Geotrigona;Geotrigona (Geotrigona) argentina ;Camargo & Moure, 1996;Tarija;Gran Chaco;Villa Montes;ADACHACO (Aguaray, Capirenda, Chimeo, Tahiguati, Tarairí, Tiguipa y Tucainti);2009;;;-21.3009272;-63.432538;"21°18'3.33""S";"63°25'57.13""W";377;Geo;Gran Chaco;Gcha;Clemente & Lahore, 2010
Geotrigona;Geotrigona (Geotrigona) argentina ;Camargo & Moure, 1996;Chuquisaca;Belisario Boeto;Villa Serrano;Pozos;2015;LIDER;IEB-LAB;-19.0524534;-64.1399297;"19°3'8.83""S";"64°8'23.74""W";1440;Original;Bosque Tucumano - Boliviano;BTBo;CBC-IEB-USFX
Geotrigona;Geotrigona (Geotrigona) argentina ;Camargo & Moure, 1996;Beni ;General José Ballivián;Puerto Menor de Rurrenabaque;Rurrenabaque;1956;Peña L.;;-14.4358057;-67.5054801;"14°26'8.9""S";"67°30'19.72""W";157;Geo;Sudoeste de la Amazonía;BAPr;Camargo & Moure, 1996
Geotrigona;Geotrigona (Geotrigona) argentina ;Camargo & Moure, 1996;La Paz;Sur Yungas;Palos Blancos;Alto Rio Beni, S of Rio Inicua;;Peña L.;;-15.2952614;-67.4743027;"15°17'42.94""S";"67°28'27.48""W";341;Geo-C;Sudoeste de la Amazonía;BASu;GBIF
Geotrigona;Geotrigona (Geotrigona) argentina ;Camargo & Moure, 1996;La Paz;Abel Iturralde;Ixiamas;Ixiamas;1922;W.M. Mann;;-13.7679865;-68.1262491;"13°46'4.75""S";"68°7'34.49""W";263;Original;Cerrado;CePac;GBIF
Geotrigona;Geotrigona (Geotrigona) argentina ;Camargo & Moure, 1996;La Paz;Abel Iturralde;San Buenaventura;Tumupasa;1922;W.M. Mann;;-14.1490975;-67.8865271;"14°8'56.75""S";"67°53'11.49""W";598;Original;Sudoeste de la Amazonía;BASu;GBIF
Geotrigona;Geotrigona (Geotrigona) fulvatra;Camargo & Moure, 1996;Beni ;General José Ballivián;Puerto Menor de Rurrenabaque;Rurrenabaque;1956;Peña L.;;-14.4358057;-67.5054801;"14°26'8.9""S";"67°30'19.72""W";157;Geo;Sudoeste de la Amazonía;BAPr;Camargo & Moure, 1996
Geotrigona;Geotrigona (Geotrigona) fulvatra;Camargo & Moure, 1996;La Paz;Sur Yungas;Palos Blancos;Alto Rio Beni, S of Rio Inicua;;Peña L.;;-15.2952614;-67.4743027;"15°17'42.94""S";"67°28'27.48""W";341;Geo-C;Sudoeste de la Amazonía;BASu;GBIF
Geotrigona;Geotrigona (Geotrigona) fulvatra;Camargo & Moure, 1996;La Paz;Abel Iturralde;Ixiamas;Ixiamas;1922;W.M. Mann;;-13.7679865;-68.1262491;"13°46'4.75""S";"68°7'34.49""W";263;Original;Cerrado;CePac;GBIF
Geotrigona;Geotrigona (Geotrigona) fulvatra;Camargo & Moure, 1996;La Paz;Abel Iturralde;San Buenaventura;Tumupasa;1922;W.M. Mann;;-14.1490975;-67.8865271;"14°8'56.75""S";"67°53'11.49""W";598;Original;Sudoeste de la Amazonía;BASu;GBIF
Geotrigona;Geotrigona (Geotrigona) mattogrossensis ;(Ducke, 1925);Santa Cruz;Chiquitos;San José;San Jose de Chiquitos;1949;Moure J.S.;;-17.8447432;-60.7364262;"17°50'41.07""S";"60°44'11.13""W";296;Geo;Cerrado;CeCha;Camargo & Moure, 1996
Geotrigona;Geotrigona (Geotrigona) mombuca;(Smith, 1863);Santa Cruz;Chiquitos;San José;San Jose de Chiquitos;1949;Kerr, W.E.;;-17.84344884;-60.73390291;"17°50'36.41""S";"60°44'2.05""W";294;Geo;Cerrado;CeCha;Moure, 1950
Geotrigona;Geotrigona (Geotrigona) mombuca;(Smith, 1863);Chuquisaca;Zudañez;Presto;Torco Torco;2015;LIDER;IEB-LAB;-18.81425;-64.77563333;"18°48'51.3""S";"64°46'32.27""W";1984;Original;Bosques Secos Interandinos;BSIn;CBC-IEB-USFX
Geotrigona;Geotrigona (Geotrigona) tellurica;Camargo & Moure, 1996;Cochabamba;Chapare;Villa Tunari;El Palmar;1956;Peña L.;;-17.108225;-65.543771;"17°6'29.61""S";"65°32'37.57""W";900;Geo;Sudoeste de la Amazonía;BASu;Camargo & Moure, 1996
Geotrigona;Geotrigona (Geotrigona) tellurica;Camargo & Moure, 1996;La Paz;Nor Yungas;Coroico;San Jacinto;1955;Peña L.;;-16.2149476;-67.6949572;"16°12'53.81""S";"67°41'41.84""W";1700;Geo;Yungas;YUN;Camargo & Moure, 1996
Geotrigona;Geotrigona (Geotrigona) tellurica;Camargo & Moure, 1996;La Paz;Sur Yungas;Irupana;Espia on Rio Bopi;1921;W.M. Mann;;-16.506667;-67.340833;"16°30'24""S";"67°20'26.99""W";1017;Original;Bosques Secos Interandinos;BSIn;GBIF
Lestrimelitta ;Lestrimelitta  (Hyrolestris) rufipes ;(Friese, 1903);Beni ;Cercado;San Javier;Sirionó (Ibiato y Pata de Águila);2018;Townsend;;-14.8302131;-64.4495717;"14°49'48.76""S";"64°26'58.45""W";167;Geo;Sabanas Inundables;SILM;Townsend et al., 2021
Lestrimelitta ;Lestrimelitta  (Hyrolestris) rufipes ;(Friese, 1903);Santa Cruz;Ñuflo de Chávez;Concepción;Lomerío (San Antonio de Lomerio);2018;Townsend;;-16.7682967;-61.8102462;"16°46'5.86""S";"61°48'36.88""W";395;Geo;Cerrado;CeChi;Townsend et al., 2021
Lestrimelitta ;Lestrimelitta  (Hyrolestris) rufipes ;(Friese, 1903);Chuquisaca;Luis Calvo;Villa Vaca Guzmán;Tapera (Ana Vibanco);2020;Cespedes-Llave A.A.;IEB-LAB;-19.678507;-63.815593;"19°40'42.62""S";"63°48'56.13""W";974;Original;Chaco Serrano;ChaS;CBC-IEB-USFX
Lestrimelitta ;Lestrimelitta  (Hyrolestris) rufipes ;(Friese, 1903);Santa Cruz;Ñuflo de Chávez;Concepción;Alta Vista;2022;;;-16.0975833;-61.8910278;"16°5'51.29""S";"61°53'27.7""W";410;Original;Bosque Seco Chiquitano;BSChi;Morón et al., 2023
Lestrimelitta ;Lestrimelitta (Lestrimelitta) limao;(Smith, 1863);Beni ;Cercado;Trinidad;Ibiato, Beni;1992;Montaño, M.E.;;-14.8301773;-64.4485321;"14°49'48.63""S";"64°26'54.71""W";162;Original;Sabanas Inundables;SILM;Montaño, 1996
Lestrimelitta ;Lestrimelitta (Lestrimelitta) rufa;(Friese, 1903);Beni ;Cercado;San Javier;Sirionó (Ibiato y Pata de Águila);2018;Townsend;;-14.8302131;-64.4495717;"14°49'48.76""S";"64°26'58.45""W";167;Geo;Sabanas Inundables;SILM;Townsend et al., 2021
Lestrimelitta ;Lestrimelitta (Lestrimelitta) rufa;(Friese, 1903);Santa Cruz;Ñuflo de Chávez;Concepción;Lomerío (San Antonio de Lomerio);2018;Townsend;;-16.7682967;-61.8102462;"16°46'5.86""S";"61°48'36.88""W";395;Geo;Cerrado;CeChi;Townsend et al., 2021
Lestrimelitta ;Lestrimelitta (Lestrimelitta) rufa;(Friese, 1903);Chuquisaca;Hernando Siles;Monteagudo;Alto Divisadero (casa Luis Barriga Dias);2020;Cespedes-Llave A.A.;IEB-LAB;-19.717575;-63.971652;"19°43'3.27""S";"63°58'17.94""W";1368;Original;Bosque Tucumano - Boliviano;BTBo;CBC-IEB-USFX
Lestrimelitta ;Lestrimelitta (Lestrimelitta) rufa;(Friese, 1903);Santa Cruz;Ñuflo de Chávez;Concepción;Alta Vista;2022;;;-16.0975833;-61.8910278;"16°5'51.29""S";"61°53'27.7""W";410;Original;Bosque Seco Chiquitano;BSChi;Morón et al., 2023
Melipona;Melipona (Eomelipona) amazonica;Schulz, 1905;La Paz;Larecaja;Quiabaya;Tarata cerca del Rio San Cristobal;;;;-15.643294;-68.746979;"15°38'35.85""S";"68°44'49.12""W";1731;Geo-C;Bosques Secos Interandinos;BSIn;GBIF
Melipona;Melipona (Eomelipona) tumupasae ;Schwarz, 1932;La Paz;Abel Iturralde;San Buenaaventura;Tumupasa;1921;W.M. Mann;;-14.148611;-67.8875;"14°8'54.99""S";"67°53'15""W";463;Original;Sudoeste de la Amazonía;BASu;Schwarz, 1932
Melipona;Melipona (Eomelipona) tumupasae ;Schwarz, 1932;La Paz;Abel Iturralde;Ixiamas;Santa Fe;2005;;;-13.768211;-68.1272856;"13°46'5.55""S";"68°7'38.22""W";262;Geo;Cerrado;CePac;Tejada, 2006
Melipona;Melipona (Eomelipona) tumupasae ;Schwarz, 1932;La Paz;Abel Iturralde;Ixiamas;Santa Pedro;2005;;;-13.7318369;-68.0084428;"13°43'54.61""S";"68°0'30.39""W";237;Geo;Cerrado;CePac;Tejada, 2006
Melipona;Melipona (Melikerria) fasciculata;Smith, 1854;Santa Cruz;Ichilo;Buena Vista;;;;;-17.46091206;-63.65537987;"17°27'39.28""S";"63°39'19.36""W";389;Geo-C;Sudoeste de la Amazonía;BAPr;GBIF
Melipona;Melipona (Melikerria) grandis ;Guérin, 1844;Santa Cruz;Chiquitos;San José;San Jose de Chiquitos;1834;d'Orbigny;;-17.8447432;-60.7364262;"17°50'41.07""S";"60°44'11.13""W";296;Geo;Cerrado;CeCha;Schwarz, 1932
Melipona;Melipona (Melikerria) grandis ;Guérin, 1844;La Paz;Abel Iturralde;Ixiamas;Ixiamas;1921;W.M. Mann;;-13.7679865;-68.1262491;"13°46'4.75""S";"68°7'34.49""W";263;Geo;Cerrado;CePac;Schwarz, 1932
Melipona;Melipona (Melikerria) grandis ;Guérin, 1844;La Paz;Abel Iturralde;San Buenaaventura;Tumupasa;1921;W.M. Mann;;-14.1527035;-67.8977206;"14°9'9.73""S";"67°53'51.79""W";598;Geo;Sudoeste de la Amazonía;BASu;Schwarz, 1932
Melipona;Melipona (Melikerria) grandis ;Guérin, 1844;Beni ;General José Ballivian;Reyes;Mision Cavinas;1922;W.M. Mann;;-12.5607398;-66.9037799;"12°33'38.66""S";"66°54'13.6""W";158;Geo;Sudoeste de la Amazonía;BAIn;Schwarz, 1932
Melipona;Melipona (Melikerria) grandis ;Guérin, 1844;La Paz;Abel Iturralde;Ixiamas;Santa Fe;2005;;;-13.768211;-68.1272856;"13°46'5.55""S";"68°7'38.22""W";262;Geo;Cerrado;CePac;Tejada, 2006
Melipona;Melipona (Melikerria) grandis ;Guérin, 1844;Beni ;Vaca Díez;Riberalta;Ivon;1922;W.M. Mann;;-11.128889;-66.130833;"11°7'44""S";"66°7'50.99""W";143;Geo;Sudoeste de la Amazonía;BAIn;Schwarz, 1932
Melipona;Melipona (Melikerria) grandis ;Guérin, 1844;Cochabamba;Carrasco;Chimore;Yuqui;;D.W. Roubik ;;-16.503005;-64.727877;"16°30'10.81""S";"64°43'40.35""W";200;Geo;Sudoeste de la Amazonía;BAPr;Stearman,  et al., 2007
Melipona;Melipona (Melikerria) grandis ;Guérin, 1844;Santa Cruz;Ichilo;San Carlos;;;Ferrufino, U;;-17.4105038;-63.7282753;"17°24'37.81""S";"63°43'41.79""W";319;Geo;Bosque Seco Chiquitano;BSChi;Ferrufino, 2013
Melipona;Melipona (Melikerria) quinquefasciata ;Lepeletier, 1836;Cochabamba;Carrasco;Chimore;Rio Chimore (Miison Francisca del Colegio Apostólico de Tarata);1900;Wolfgang Priewasser;;-16.993072;-65.1504048;"16°59'35.05""S";"65°9'1.45""W";243;Geo;Sudoeste de la Amazonía;BAPr;Schwarz, 1948
Melipona;Melipona (Melikerria) quinquefasciata ;Lepeletier, 1836;Chuquisaca;Luis Calvo;Villa Vaca Guzmán;Ibabiyute (Senobio Yucra Vela) Cumandaiti;2020;Cespedes-Llave A.A.;IEB-LAB;-19.419044;-63.845898;"19°25'8.55""S";"63°50'45.23""W";1094;Original;Bosque Tucumano - Boliviano;BTBo;CBC-IEB-USFX
Melipona;Melipona (Melikerria) quinquefasciata ;Lepeletier, 1836;Tarija;Gran Chaco;Villa Montes;ADACHACO (Aguaray, Capirenda, Chimeo, Tahiguati, Tarairí, Tiguipa y Tucainti);2009;;;-21.3009272;-63.432538;"21°18'3.33""S";"63°25'57.13""W";377;Geo;Gran Chaco;Gcha;Clemente & Lahore, 2010
Melipona;Melipona (Melipona) baeri ;Vachal, 1904;Cochabamba;Carrasco;Chimore;Rio Chimore (Miison Francisca del Colegio Apostólico de Tarata);1900;Wolfgang Priewasser;;-16.993072;-65.1504048;"16°59'35.05""S";"65°9'1.45""W";243;Geo;Sudoeste de la Amazonía;BAPr;Schwarz, 1932
Melipona;Melipona (Melipona) baeri ;Vachal, 1904;Beni ;General José Ballivián;Santa Rosa;Lake Rogagua;1921;W.M. Mann;;-14.0047573;-66.9272724;"14°0'17.12""S";"66°55'38.18""W";172;Geo;Sabanas Inundables;SILM;Schwarz, 1932
Melipona;Melipona (Melipona) baeri ;Vachal, 1904;Tarija;Gran Chaco;Villa Montes;ADACHACO (Aguaray, Capirenda, Chimeo, Tahiguati, Tarairí, Tiguipa y Tucainti);2009;;;-21.3009272;-63.432538;"21°18'3.33""S";"63°25'57.13""W";377;Geo;Gran Chaco;Gcha;Clemente & Lahore, 2010
Melipona;Melipona (Melipona) baeri ;Vachal, 1904;Cochabamba;Carrasco;Chimore;Rio Chimore (Miison Francisca del Colegio Apostólico de Tarata);1900;Wolfgang Priewasser;;-16.993072;-65.1504048;"16°59'35.05""S";"65°9'1.45""W";243;Geo;Sudoeste de la Amazonía;BAPr;Schwarz, 1932
Melipona;Melipona (Melipona) baeri ;Vachal, 1904;Beni ;General José Ballivián;Santa Rosa;Lake Rogagua;1921;W.M. Mann;;-13.906944;-66.906667;"13°54'24.99""S";"66°54'24""W";175;Geo;Sabanas Inundables;SILM;Schwarz, 1932
Melipona;Melipona (Melipona) baeri ;Vachal, 1904;Beni ;General José Ballivián;Reyes;Reyes ;1921;W.M. Mann;;-14.296361;-67.332203;"14°17'46.89""S";"67°19'55.93""W";188;Geo;Sabanas Inundables;SILM;Schwarz, 1932
Melipona;Melipona (Melipona) baeri ;Vachal, 1904;La Paz;Larecaja;Quiabaya;Tarata cerca del Rio San Cristobal;;;;-15.643294;-68.746979;"15°38'35.85""S";"68°44'49.12""W";1731;Geo-C;Bosques Secos Interandinos;BSIn;GBIF
Melipona;Melipona (Melipona) baeri ;Vachal, 1904;Santa Cruz;Manuel M. Caballero;Comarapa;Comunidad El Tunal;1984;Peña L.;;-17.9;-64.483333;"17°53'59.99""S";"64°28'59.99""W";2173;Original;Bosque Tucumano - Boliviano;BTBo;GBIF
Melipona;Melipona (Melipona) baeri ;Vachal, 1904;Santa Cruz;Chiquitos;San José;San Jose de Chiquitos;1949;Kerr, W.E.;;-17.84344884;-60.73390291;"17°50'36.41""S";"60°44'2.05""W";294;Geo;Cerrado;CeCha;Moure, 1950
Melipona;Melipona (Melipona) baeri ;Vachal, 1904;Chuquisaca;Oropeza;Sucre;Cerca de la Comunida el Tunal (Chuqui Chuqui);2021;Dirk;;-18.867172;-65.073807;"18°52'1.81""S";"65°4'25.7""W";2297;Geo-C;Bosques Secos Interandinos;BSIn;GBIF
Melipona;Melipona (Melipona) lunulata ;Friese, 1900;La Paz;Sur Yungas;Irupana (Villa de Lanza);Espia on Rio Bopi;1921;;;-16.506667;-67.340833;"16°30'24""S";"67°20'26.99""W";1032;Geo-C;Bosques Secos Interandinos;BSIn;GBIF
Melipona;Melipona (Melipona) lunulata ;Friese, 1900;Santa Cruz;Andrés Ibáñez;Santa Cruz de la Sierra;;1949;Kerr, W.E.;;-17.79378;-63.171071;"17°47'37.6""S";"63°10'15.85""W";417;Geo;Gran Chaco;Gcha;Moure, 1950
Melipona;Melipona (Melipona) lunulata ;Friese, 1900;Santa Cruz;Ñuflo de Chávez;San Ramon;San Jose;1949;Kerr, W.E.;;-16.86993285;-62.89671424;"16°52'11.75""S";"62°53'48.17""W";245;Geo;Bosque Seco Chiquitano;BSChi;Moure, 1950
Melipona;Melipona (Melipona) orbignyi ;(Fabricius, 1798);Santa Cruz;Chiquitos;San José;San Jose de Chiquitos;;;;-17.8447432;-60.7364262;"17°50'41.07""S";"60°44'11.13""W";296;Geo;Cerrado;CeCha;Schwarz, 1932
Melipona;Melipona (Melipona) orbignyi ;(Fabricius, 1798);Santa Cruz;Chiquitos;San Jose de Chiquitos;Sur de Chiquitos;;;;-17.872416;-60.747697;"17°52'20.69""S";"60°44'51.7""W";334;Geo;Cerrado;CeCha;Schwarz, 1932
Melipona;Melipona (Melipona) orbignyi ;(Fabricius, 1798);Tarija;Gran Chaco;Villa Montes;ADACHACO (Aguaray, Capirenda, Chimeo, Tahiguati, Tarairí, Tiguipa y Tucainti);2009;;;-21.3009272;-63.432538;"21°18'3.33""S";"63°25'57.13""W";377;Geo;Gran Chaco;Gcha;Clemente & Lahore, 2010
